Country Code,Year,GDP_per_capita,Life_expectancy,Unemployment,Electricity_access,Internet_usage,Country
BGD,2000,396.670730249751,62.049,3.27,32.0,0.0710394230507683,Bangladesh
BGD,2001,394.65641001891,62.836,3.609,35.0,0.129807973947512,Bangladesh
BGD,2002,393.886422327628,63.591,3.966,37.8,0.13992028850905,Bangladesh
BGD,2003,426.74880754362,64.288,4.32,40.5,0.163877665498048,Bangladesh
BGD,2004,455.614016909798,64.912,4.316,40.6,0.199036333744363,Bangladesh
BGD,2005,480.08585075452,65.509,4.25,44.2,0.241600007,Bangladesh
BGD,2006,490.388026533289,66.048,3.591,50.5,1.0,Bangladesh
BGD,2007,537.955492792911,66.458,4.015,46.5,1.799999952,Bangladesh
BGD,2008,613.06204104124,67.047,4.49,54.3,2.5,Bangladesh
BGD,2009,679.211477428056,67.527,5.0,57.1,3.099999905,Bangladesh
BGD,2010,757.385280361508,68.009,3.379,55.3,3.700000048,Bangladesh
BGD,2011,837.336944695647,68.499,3.737,59.6,4.5,Bangladesh
BGD,2012,859.680536375497,68.989,4.07,65.5,5.0,Bangladesh
BGD,2013,958.262989798283,69.487,4.426,61.5,6.63,Bangladesh
BGD,2014,1094.46199702838,70.016,4.417,62.4,9.052900314,Bangladesh
BGD,2015,1224.38647668165,70.543,4.397,74.0,12.36880016,Bangladesh
BGD,2016,1649.28380858601,71.075,4.35,75.9,16.89909935,Bangladesh
BGD,2017,1811.08221668646,71.606,4.372,88.0,21.5,Bangladesh
BGD,2018,1965.24372731467,72.122,4.439,86.9,25.56509972,Bangladesh
BGD,2019,2129.79896954606,72.625,4.504,92.2,30.38310051,Bangladesh
BGD,2020,2248.85078828233,71.421,5.539,96.2,36.10910034,Bangladesh
BGD,2021,2482.84917843357,71.103,5.457,99.0,38.91744466,Bangladesh
BGD,2022,2716.48592780431,74.265,4.593,99.4,41.61650085,Bangladesh
BGD,2023,2551.01773827307,74.672,3.352,99.5,44.50274195,Bangladesh
BGD,2024,2593.41611680774,74.93,3.635,99.5,53.42171316,Bangladesh
BTN,2000,771.924911410619,61.842,1.655,31.1,0.40094444691941,Bhutan
BTN,2001,812.238210772056,63.323,1.9,40.2,0.864628564215099,Bhutan
BTN,2002,895.799489930972,63.984,1.854,44.1,1.67580258375242,Bhutan
BTN,2003,1022.38240311018,64.662,1.8,41.1,2.43691239949767,Bhutan
BTN,2004,1130.35934606796,65.29,2.49,51.9,3.15698419613711,Bhutan
BTN,2005,1299.94938578359,65.875,3.1,59.8,3.847100019,Bhutan
BTN,2006,1405.6071618158,66.499,3.13,59.7,4.518300056,Bhutan
BTN,2007,1850.41570433398,67.152,3.7,71.8,5.92,Bhutan
BTN,2008,1919.59774896395,67.733,3.848,67.6,6.55,Bhutan
BTN,2009,1918.39599211093,68.156,3.96,71.5,7.17,Bhutan
BTN,2010,2435.5798056672,68.765,3.32,73.3,13.6,Bhutan
BTN,2011,2787.97967608562,69.28,3.23,81.8,14.39999962,Bhutan
BTN,2012,2751.2128864294,69.759,2.05,91.5,15.60000038,Bhutan
BTN,2013,2679.95217201538,70.161,2.87,87.4,22.39999962,Bhutan
BTN,2014,2849.49998647303,70.504,2.63,91.4,30.29999924,Bhutan
BTN,2015,2954.04081911097,70.797,2.45,95.4,39.79999924,Bhutan
BTN,2016,3152.30905106786,71.119,2.707,99.3,46.50320053,Bhutan
BTN,2017,3435.28804735662,71.413,3.027,97.7,54.33549881,Bhutan
BTN,2018,3400.20417245342,71.711,3.35,100.0,63.48680115,Bhutan
BTN,2019,3576.87987100503,72.005,2.72,100.0,74.17939758,Bhutan
BTN,2020,3191.66906999331,72.253,5.03,100.0,76.85079956,Bhutan
BTN,2021,3570.61257980872,72.448,4.803,100.0,85.63688389,Bhutan
BTN,2022,3711.32767981591,72.754,5.947,100.0,88.35620117,Bhutan
BTN,2023,3831.32535564326,72.975,3.126,100.0,90.02140045,Bhutan
BTN,2024,4228.05102403654,73.262,3.282,100.0,91.27739716,Bhutan
IND,2000,442.750218937263,62.749,7.589,60.3,0.527532449930946,India
IND,2001,450.357900514128,63.158,7.611,62.0,0.660146377009928,India
IND,2002,469.149928973927,63.649,7.681,62.3,1.53787558175083,India
IND,2003,544.143133545002,64.086,7.633,65.4,1.68648997063625,India
IND,2004,624.258826510066,64.484,7.598,64.4,1.97613649190559,India
IND,2005,710.488080408949,64.939,7.551,68.8,2.388099909,India
IND,2006,801.668353659022,65.373,7.553,67.9,2.80549986534254,India
IND,2007,1021.88707706826,65.803,7.562,72.3,3.95,India
IND,2008,992.519584923828,66.247,7.629,74.1,4.38,India
IND,2009,1094.94974598436,66.7,7.636,75.0,5.12,India
IND,2010,1347.51939071367,67.162,7.631,76.3,7.5,India
IND,2011,1445.46127486037,67.623,7.609,79.5,10.07,India
IND,2012,1429.32199520032,68.076,7.645,79.9,11.10000038,India
IND,2013,1432.84397512195,68.499,7.678,83.1,12.30000019,India
IND,2014,1553.88396075118,68.932,7.656,85.1,13.5,India
IND,2015,1583.99815907985,69.326,7.629,88.0,14.89999962,India
IND,2016,1707.50892912243,69.709,7.611,89.6,16.5,India
IND,2017,1950.10468280866,70.068,7.626,91.8,18.20000076,India
IND,2018,1966.25455171679,70.415,7.652,95.7,20.0813000379384,India
IND,2019,2041.42863698585,70.746,6.51,95.9,29.52350044,India
IND,2020,1907.04251637669,70.156,7.859,96.5,43.40544313,India
IND,2021,2239.61384367482,67.282,6.38,99.6,49.2580986,India
IND,2022,2279.98145719369,71.698,4.822,99.2,55.9,India
IND,2023,2434.44826340989,72.003,4.172,99.5,60.25230026,India
IND,2024,2591.9916607122,72.235,4.173,99.9,64.9434967,India
NPL,2000,223.830289183078,62.642,10.531,29.9,0.204651683653029,Nepal
NPL,2001,240.795114544664,63.288,10.502,24.6,0.240015303375743,Nepal
NPL,2002,238.89140296106,63.507,10.593,36.4,0.312956060108532,Nepal
NPL,2003,246.429706587633,64.229,10.644,39.6,0.382810917017044,Nepal
NPL,2004,279.587750044428,64.744,10.652,37.2,0.449843651215974,Nepal
NPL,2005,309.024168339372,65.275,10.59,46.1,0.82655126590551,Nepal
NPL,2006,340.431796437968,65.891,10.609,51.2,1.14138916388191,Nepal
NPL,2007,385.449767660642,66.169,10.642,52.6,1.41,Nepal
NPL,2008,464.817391891529,66.442,10.597,56.0,1.73,Nepal
NPL,2009,473.078751198621,66.6,10.582,59.3,1.97,Nepal
NPL,2010,585.278491984574,66.772,10.563,68.6,7.93,Nepal
NPL,2011,785.518656222132,67.123,10.627,67.3,9.0,Nepal
NPL,2012,788.202937148377,67.364,10.632,75.2,11.14929962,Nepal
NPL,2013,803.269595420477,67.598,10.666,77.4,13.30000019,Nepal
NPL,2014,821.455224911731,67.812,10.62,84.9,15.43999958,Nepal
NPL,2015,875.543635474862,67.374,10.643,82.0,17.58160019,Nepal
NPL,2016,877.256454696737,68.444,10.714,90.7,20.70000076,Nepal
